recommended_from,recommended_to,support,confidence,lift,antecedent_length,consequent_length
GREEN REGENCY TEACUP AND SAUCER,ROSES REGENCY TEACUP AND SAUCER ,0.0388,0.7511,14.1565,1,1
ROSES REGENCY TEACUP AND SAUCER ,GREEN REGENCY TEACUP AND SAUCER,0.0388,0.7322,14.1565,1,1
JUMBO BAG PEARS,JUMBO BAG APPLES,0.0206,0.6788,13.8213,1,1
WOODLAND CHARLOTTE BAG,CHARLOTTE BAG SUKI DESIGN,0.0229,0.6065,13.5918,1,1
CHARLOTTE BAG SUKI DESIGN,WOODLAND CHARLOTTE BAG,0.0229,0.5137,13.5918,1,1
STRAWBERRY CHARLOTTE BAG,RED RETROSPOT CHARLOTTE BAG,0.0254,0.6805,13.5798,1,1
RED RETROSPOT CHARLOTTE BAG,STRAWBERRY CHARLOTTE BAG,0.0254,0.5072,13.5798,1,1
HOT WATER BOTTLE I AM SO POORLY,CHOCOLATE HOT WATER BOTTLE,0.021,0.5969,13.1154,1,1
STRAWBERRY CHARLOTTE BAG,CHARLOTTE BAG SUKI DESIGN,0.0218,0.584,13.0874,1,1
CHARLOTTE BAG PINK POLKADOT,CHARLOTTE BAG SUKI DESIGN,0.0213,0.5706,12.7877,1,1
WOODLAND CHARLOTTE BAG,RED RETROSPOT CHARLOTTE BAG,0.0239,0.6314,12.5998,1,1
DOTCOM POSTAGE,JUMBO BAG WOODLAND ANIMALS,0.02,0.5113,12.5356,1,1
ALARM CLOCK BAKELIKE GREEN,ALARM CLOCK BAKELIKE RED ,0.0312,0.6427,12.4524,1,1
ALARM CLOCK BAKELIKE RED ,ALARM CLOCK BAKELIKE GREEN,0.0312,0.6054,12.4524,1,1
CHARLOTTE BAG SUKI DESIGN,RED RETROSPOT CHARLOTTE BAG,0.0264,0.5908,11.7891,1,1
RED RETROSPOT CHARLOTTE BAG,CHARLOTTE BAG SUKI DESIGN,0.0264,0.526,11.7891,1,1
ALARM CLOCK BAKELIKE PINK,ALARM CLOCK BAKELIKE RED ,0.0218,0.5991,11.6074,1,1
PAPER CHAIN KIT VINTAGE CHRISTMAS,PAPER CHAIN KIT 50'S CHRISTMAS ,0.0299,0.6725,10.7714,1,1
WOODEN FRAME ANTIQUE WHITE ,WOODEN PICTURE FRAME WHITE FINISH,0.0293,0.5605,9.3865,1,1
"JUMBO BAG RED RETROSPOT, JUMBO SHOPPER VINTAGE RED PAISLEY",JUMBO STORAGE BAG SUKI,0.0213,0.5845,9.32,2,1
JUMBO BAG WOODLAND ANIMALS,JUMBO STORAGE BAG SUKI,0.0236,0.5782,9.2205,1,1
"JUMBO BAG RED RETROSPOT, JUMBO STORAGE BAG SUKI",JUMBO BAG PINK POLKADOT,0.0225,0.5802,9.0208,2,1
DOTCOM POSTAGE,JUMBO STORAGE BAG SUKI,0.0219,0.5595,8.9216,1,1
"JUMBO BAG RED RETROSPOT, JUMBO STORAGE BAG SUKI",JUMBO SHOPPER VINTAGE RED PAISLEY,0.0213,0.5501,8.7494,2,1
60 TEATIME FAIRY CAKE CASES,PACK OF 72 RETROSPOT CAKE CASES,0.0227,0.5432,8.6689,1,1
"JUMBO BAG RED RETROSPOT, JUMBO SHOPPER VINTAGE RED PAISLEY",JUMBO BAG PINK POLKADOT,0.0203,0.5571,8.6609,2,1
JUMBO STORAGE BAG SKULLS,JUMBO STORAGE BAG SUKI,0.0203,0.5336,8.5092,1,1
JUMBO BAG WOODLAND ANIMALS,JUMBO BAG PINK POLKADOT,0.022,0.5401,8.3975,1,1
"JUMBO BAG RED RETROSPOT, JUMBO BAG PINK POLKADOT",JUMBO STORAGE BAG SUKI,0.0225,0.5159,8.2269,2,1
HEART OF WICKER LARGE,HEART OF WICKER SMALL,0.0268,0.5284,8.1805,1,1
DOTCOM POSTAGE,JUMBO SHOPPER VINTAGE RED PAISLEY,0.0201,0.5142,8.1772,1,1
JUMBO BAG WOODLAND ANIMALS,JUMBO SHOPPER VINTAGE RED PAISLEY,0.0208,0.5088,8.0925,1,1
LUNCH BAG PINK POLKADOT,LUNCH BAG  BLACK SKULL.,0.029,0.5189,7.689,1,1
"JUMBO SHOPPER VINTAGE RED PAISLEY, JUMBO BAG PINK POLKADOT",JUMBO BAG RED RETROSPOT,0.0203,0.8062,7.5071,2,1
"JUMBO STORAGE BAG SUKI, JUMBO BAG PINK POLKADOT",JUMBO BAG RED RETROSPOT,0.0225,0.802,7.4682,2,1
LUNCH BAG PINK POLKADOT,LUNCH BAG RED RETROSPOT,0.0307,0.5507,7.1286,1,1
"JUMBO STORAGE BAG SUKI, JUMBO SHOPPER VINTAGE RED PAISLEY",JUMBO BAG RED RETROSPOT,0.0213,0.7485,6.9705,2,1
LUNCH BAG WOODLAND,LUNCH BAG RED RETROSPOT,0.0253,0.5241,6.7848,1,1
LUNCH BAG SUKI DESIGN ,LUNCH BAG RED RETROSPOT,0.0286,0.5054,6.5421,1,1
DOTCOM POSTAGE,JUMBO BAG RED RETROSPOT,0.0269,0.687,6.3972,1,1
JUMBO BAG PINK POLKADOT,JUMBO BAG RED RETROSPOT,0.0436,0.6773,6.3072,1,1
JUMBO BAG SCANDINAVIAN BLUE PAISLEY,JUMBO BAG RED RETROSPOT,0.0238,0.674,6.2765,1,1
JUMBO BAG STRAWBERRY,JUMBO BAG RED RETROSPOT,0.0286,0.654,6.0901,1,1
JUMBO BAG WOODLAND ANIMALS,JUMBO BAG RED RETROSPOT,0.0263,0.6449,6.0054,1,1
JUMBO BAG SPACEBOY DESIGN,JUMBO BAG RED RETROSPOT,0.0216,0.627,5.8388,1,1
JUMBO  BAG BAROQUE BLACK WHITE,JUMBO BAG RED RETROSPOT,0.0316,0.6264,5.8329,1,1
JUMBO STORAGE BAG SUKI,JUMBO BAG RED RETROSPOT,0.0387,0.6177,5.7521,1,1
JUMBO BAG OWLS,JUMBO BAG RED RETROSPOT,0.0205,0.5997,5.5843,1,1
JUMBO BAG PINK VINTAGE PAISLEY,JUMBO BAG RED RETROSPOT,0.0271,0.5988,5.5759,1,1
RED HANGING HEART T-LIGHT HOLDER,WHITE HANGING HEART T-LIGHT HOLDER,0.026,0.6648,5.5405,1,1
JUMBO STORAGE BAG SKULLS,JUMBO BAG RED RETROSPOT,0.0225,0.5921,5.5138,1,1
JUMBO SHOPPER VINTAGE RED PAISLEY,JUMBO BAG RED RETROSPOT,0.0365,0.5799,5.3999,1,1
JUMBO BAG APPLES,JUMBO BAG RED RETROSPOT,0.0282,0.574,5.3453,1,1
RECYCLING BAG RETROSPOT ,JUMBO BAG RED RETROSPOT,0.0223,0.5662,5.2725,1,1
